22:13:18 | WARNING  | TICK:0156 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0156 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0157 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0157 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0158 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0158 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0159 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0159 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0160 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0160 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0161 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0161 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0162 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0162 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0163 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0163 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0164 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0164 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0165 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0165 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0166 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0166 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0167 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0167 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0168 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0168 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0169 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0169 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0170 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0170 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0171 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0171 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0172 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0172 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0173 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0173 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0174 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0174 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0175 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0175 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0176 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0176 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0177 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0177 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0178 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0178 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0179 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0179 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0180 | Agent tank_1_1 returned error: 500
